epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1482,2.87299,4.60627,4.58261,0.00144,0.29412,0.0018,0.00051,1.86506,4.34856,4.15742,8e-05,8e-05,8e-05
2,27.083,3.09662,4.43279,4.40939,0.0016,0.32353,0.00142,0.00037,1.8634,4.35173,4.15611,0.000178218,0.000178218,0.000178218
3,39.9559,2.97642,3.93556,4.25977,0.00161,0.32353,0.00144,0.00041,1.86106,4.35365,4.15514,0.000274456,0.000274456,0.000274456
4,52.7454,3.07054,3.68854,4.1516,0.00164,0.32353,0.00154,0.00041,1.85889,4.35307,4.15525,0.000368714,0.000368714,0.000368714
5,65.6051,3.0962,3.31614,4.06488,0.00152,0.30882,0.00137,0.00042,1.85435,4.34762,4.15566,0.000460992,0.000460992,0.000460992
6,78.6699,2.70985,3.36477,3.98271,0.00162,0.33824,0.00145,0.0004,1.85163,4.3384,4.15714,0.00055129,0.00055129,0.00055129
7,91.5787,2.7417,3.20944,3.8072,0.00158,0.33824,0.00145,0.0004,1.84552,4.315,4.15745,0.000639608,0.000639608,0.000639608
8,104.621,2.78678,2.8886,3.6772,0.00164,0.35294,0.00157,0.00043,1.84199,4.29688,4.15605,0.000725946,0.000725946,0.000725946
9,117.567,2.6582,2.58555,3.49518,0.00145,0.32353,0.00146,0.00038,1.83851,4.24424,4.1497,0.000810304,0.000810304,0.000810304
10,130.888,2.44256,2.51449,3.23041,0.00132,0.29412,0.0014,0.00041,1.83891,4.19105,4.14603,0.000892682,0.000892682,0.000892682
11,143.84,2.44662,2.54202,3.12782,0.00133,0.29412,0.00143,0.00041,1.84633,4.17525,4.13123,0.00097308,0.00097308,0.00097308
12,157.012,2.34762,2.56055,3.00226,0.00133,0.29412,0.00143,0.00041,1.85629,4.15941,4.11379,0.0010515,0.0010515,0.0010515
13,170.267,2.26128,2.23374,3.00544,0.00248,0.29412,0.00183,0.00058,1.87322,4.14039,4.09461,0.00112794,0.00112794,0.00112794
14,183.385,2.28864,2.32024,2.93621,0.00278,0.25,0.00186,0.00056,1.87701,4.13538,4.08844,0.00120239,0.00120239,0.00120239
15,196.411,2.28751,2.16278,2.94723,0.00284,0.23529,0.00186,0.00056,1.91839,4.15203,4.03385,0.00127487,0.00127487,0.00127487
16,209.4,2.10216,1.96126,2.77792,0.00284,0.23529,0.00186,0.00055,2.03923,4.15262,3.94141,0.00134537,0.00134537,0.00134537
17,222.186,2.13765,2.07813,2.67711,0.00978,0.83824,0.009,0.00247,2.34292,3.95242,3.65945,0.00141389,0.00141389,0.00141389
18,235.221,2.11624,1.94232,2.68045,0.00988,1,0.02896,0.00997,2.45249,3.65523,3.48461,0.00148043,0.00148043,0.00148043
19,248.021,2.31246,2.36334,2.91675,0.00808,1,0.35842,0.08543,2.05359,3.4905,3.24862,0.00154498,0.00154498,0.00154498
20,260.819,2.04154,1.91268,2.551,0.87433,0.19118,0.38669,0.12321,1.80673,3.74146,3.63081,0.00160756,0.00160756,0.00160756
